Question,Answer,Question Type,Expert time (mins),Rubric
삼성전자의 현재 주가와 PER, PBR을 알려줘,현재가: 약 72000원, PER: 약 15배, PBR: 약 1.3배 (시점에 따라 변동),Quantitative Retrieval,2,"[{'operator': 'correctness', 'criteria': '삼성전자 현재가 정보 제공'}, {'operator': 'correctness', 'criteria': 'PER 값 제공'}, {'operator': 'correctness', 'criteria': 'PBR 값 제공'}]"
SK하이닉스의 2023년 매출액과 영업이익을 알려줘,"매출액: 약 32조원, 영업이익: 약 -7.7조원 (적자)",Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': '2023년 매출액 정보'}, {'operator': 'correctness', 'criteria': '2023년 영업이익 정보'}]"
오늘 코스피 상승률 상위 5개 종목은?,"상승률 상위 종목 목록 (당일 시장 상황에 따라 변동)",Market Analysis,3,"[{'operator': 'correctness', 'criteria': '상승률 순위 종목 5개 제공'}, {'operator': 'correctness', 'criteria': '종목코드 또는 종목명 포함'}]"
삼성전자에 대한 외국인 순매수 현황을 알려줘,외국인 순매수/순매도 금액 및 추이,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': '외국인 순매수 정보 제공'}, {'operator': 'correctness', 'criteria': '기간별 추이 정보'}]"
현대차의 최근 공시 내용을 요약해줘,최근 공시 목록 (사업보고서/분기보고서/주요사항보고 등),Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': '공시 목록 제공'}, {'operator': 'correctness', 'criteria': '공시 유형 구분'}]"
카카오 주식의 공매도 비율은 어떻게 되나요?,공매도량/공매도비중/공매도잔고 정보,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': '공매도 관련 수치 제공'}]"
NAVER의 2023년 재무상태표 주요 항목을 알려줘,"자산총계, 부채총계, 자본총계 정보",Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': '자산 정보'}, {'operator': 'correctness', 'criteria': '부채 정보'}, {'operator': 'correctness', 'criteria': '자본 정보'}]"
삼성SDI의 대주주 현황을 알려줘,대주주 지분율 및 최근 변동 내역,Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': '대주주 정보 제공'}, {'operator': 'correctness', 'criteria': '지분율 정보'}]"
LG화학의 최근 1개월 주가 추이를 알려줘,일별 시가/고가/저가/종가/거래량 데이터,Trends,5,"[{'operator': 'correctness', 'criteria': '주가 추이 데이터 제공'}, {'operator': 'correctness', 'criteria': '기간 내 데이터 포함'}]"
기아의 2023년 영업이익률을 계산해줘,영업이익률 = 영업이익/매출액 계산 결과,Numerical Reasoning,5,"[{'operator': 'correctness', 'criteria': '영업이익률 계산'}, {'operator': 'correctness', 'criteria': '계산 근거 데이터 제공'}]"
삼성전자와 SK하이닉스의 2023년 매출액을 비교해줘,"삼성전자: 약 258조원, SK하이닉스: 약 32조원",Complex Retrieval,10,"[{'operator': 'correctness', 'criteria': '삼성전자 매출액'}, {'operator': 'correctness', 'criteria': 'SK하이닉스 매출액'}, {'operator': 'correctness', 'criteria': '비교 분석'}]"
포스코홀딩스의 기업 개황을 알려줘,"대표자, 주소, 업종, 설립일, 결산월 등",Qualitative Retrieval,3,"[{'operator': 'correctness', 'criteria': '기업 기본 정보 제공'}]"
KB금융의 신용잔고 추이를 알려줘,신용잔고/신용잔고율 추이 데이터,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': '신용잔고 데이터 제공'}]"
셀트리온에 대한 최신 뉴스를 검색해줘,셀트리온 관련 최신 뉴스 목록,Qualitative Retrieval,3,"[{'operator': 'correctness', 'criteria': '뉴스 목록 제공'}, {'operator': 'correctness', 'criteria': '발행일자 포함'}]"
오늘 코스닥 거래량 상위 종목은?,거래량 상위 종목 목록,Market Analysis,3,"[{'operator': 'correctness', 'criteria': '거래량 순위 종목 제공'}]"
현대모비스의 2023년 현금흐름표를 분석해줘,영업/투자/재무활동 현금흐름,Quantitative Retrieval,10,"[{'operator': 'correctness', 'criteria': '영업활동 현금흐름'}, {'operator': 'correctness', 'criteria': '투자활동 현금흐름'}, {'operator': 'correctness', 'criteria': '재무활동 현금흐름'}]"
삼성바이오로직스의 임원 지분 변동 내역을 알려줘,임원/주요주주 소유 변동 보고 내역,Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': '지분 변동 내역 제공'}]"
LG에너지솔루션의 2023년 손익계산서 주요 항목은?,"매출액, 영업이익, 당기순이익 등",Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': '매출액 정보'}, {'operator': 'correctness', 'criteria': '영업이익 정보'}, {'operator': 'correctness', 'criteria': '당기순이익 정보'}]"
신한지주의 기관 순매수 동향을 알려줘,기관 순매수/순매도 추이,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': '기관 매매동향 정보 제공'}]"
삼성전자의 3년 매출 CAGR을 계산해줘,2021-2023년 매출 기반 CAGR 계산,Numerical Reasoning,10,"[{'operator': 'correctness', 'criteria': '연도별 매출 데이터'}, {'operator': 'correctness', 'criteria': 'CAGR 계산 결과'}]"
